census_tract,total_people,parks,shelter_beds,building_permits,foreclosures
127711,9,10,0,8043,133
127712,1,16,0,9640,163
127803,4,10,0,4185,62
127804,4,10,0,4185,62
127805,11,14,0,6773,94
127806,5,14,0,6773,94
127910,49,10,31,4185,62
127920,26,10,0,4185,62
128101,0,11,0,8272,133
128102,9,11,0,8272,133
128210,70,1,147,4087,71
128220,12,1,0,4087,71
128302,20,4,0,2588,32
128303,45,5,24,6675,103
128400,39,4,48,2588,32
128500,11,9,0,9937,125
128601,22,1,0,4087,71
128602,2,9,0,9937,125
128702,8,10,0,10345,100
128801,16,6,0,7083,78
128802,1,6,0,7083,78
128910,7,2,0,4495,46
131010,20,8,0,6033,145
131020,17,8,0,6033,145
131100,0,6,0,9312,189
131200,2,0,0,3857,88
131300,11,8,0,9890,233
131400,60,8,42,9890,233
131600,6,16,0,10335,203
131701,8,8,0,6033,145
131702,0,8,0,6033,145
131800,22,8,0,6033,145
131900,0,6,0,5455,101
132001,0,6,0,5455,101
132002,12,6,0,5455,101
132101,12,6,0,5455,101
132102,24,6,0,5455,101
132300,28,8,0,6033,145
132501,0,8,0,6033,145
132502,9,8,0,6033,145
132700,5,24,0,9920,221
132900,3,24,0,9920,221
133000,8,8,0,6033,145
133100,20,8,0,6033,145
134001,12,3,0,2291,36
134002,5,9,0,6421,153
134101,0,6,0,4130,117
134103,0,6,0,4130,117
134104,11,6,0,4130,117
134201,14,19,0,8336,163
134302,0,13,0,4206,46
134303,13,15,0,5510,115
134304,68,13,0,4206,46
134305,11,13,0,4206,46
134306,5,13,0,4206,46
134421,15,25,0,7425,125
134422,0,25,0,7425,125
134423,6,13,0,4206,46
134424,0,25,0,7425,125
134520,21,3,39,2291,36
134521,46,3,0,2291,36
134522,13,3,0,2291,36
134710,23,6,0,4130,117
134720,8,6,0,4130,117
134800,3,6,0,4130,117
134901,3,14,0,14553,245
134903,8,3,0,2291,36
134904,0,6,0,4130,117
134905,11,6,0,8520,100
135102,0,18,0,11739,179
135111,1,3,0,2291,36
135113,17,6,0,8520,100
135114,2,9,0,10811,136
135201,12,18,0,11739,179
135202,0,18,0,11739,179
135203,2,18,0,11739,179
137000,0,0,0,0,0
137103,7,6,0,8520,100
137104,45,6,0,8520,100
137201,18,7,0,13302,203
137301,33,6,0,8520,100
137302,4,6,0,8520,100
137401,6,7,0,13302,203
137402,5,1,0,4782,103
137501,5,1,0,4782,103
137502,13,1,0,4782,103
137504,0,1,0,4782,103
138000,0,1,0,4782,103
139001,0,16,0,3887,76
139200,0,21,0,8331,167
139301,10,11,0,12964,191
139302,5,5,0,4444,91
139303,6,5,0,4444,91
139401,15,5,0,4444,91
139402,26,6,0,9226,194
139502,0,21,0,8331,167
139503,11,16,0,3887,76
139504,0,16,0,3887,76
139600,4,16,0,3887,76
